2018rank,City,State,2018estimate,2010Census,Change,2016 Land area(sqmi),2016 Land Area(km2),2016 Population Density(sqmi),2016 Population Density(km2),Location,Mayor
202,Warren,Michigan,"134,587","134,056",+0.40,34.4,89.1,"3,928","1,517",42°29′34″N 83°01′30″W / 42.4929°N 83.0250°W / 42.4929; -83.0250 ,James R. Fouts 
203,Hampton,Virginia,"134,313","137,436",−2.27,51.5,133.4,"2,629","1,015",37°02′53″N 76°17′50″W / 37.0480°N 76.2971°W / 37.0480; -76.2971 ,Donnie Tuck  
204,Gainesville,Florida,"133,857","124,354",+7.64,62.3,161.4,"2,112",815,29°40′44″N 82°20′46″W / 29.6788°N 82.3461°W / 29.6788; -82.3461 ,Lauren Poe 
205,Visalia,California,"133,800","124,442",+7.52,37.5,97.1,"3,495","1,349",36°19′38″N 119°19′44″W / 36.3273°N 119.3289°W / 36.3273; -119.3289 ,
206,Coral Springs,Florida,"133,507","121,096",+10.25,23.8,61.6,"5,465",",110",26°16′15″N 80°15′33″W / 26.2707°N 80.2593°W / 26.2707; -80.2593 ,
207,Columbia,South Carolina,"133,451","129,272",+3.23,133.5,345.8,"1,006",388,34°01′45″N 80°53′53″W / 34.0291°N 80.8980°W / 34.0291; -80.8980 ,Stephen K. Benjamin 
208,Cedar Rapids,Iowa,"133,174","126,326",+5.42,70.8,183.4,"1,852",715,41°58′01″N 91°40′40″W / 41.9670°N 91.6778°W / 41.9670; -91.6778 ,Brad Hart 
209,Sterling Heights,Michigan,"132,964","129,699",+2.52,36.5,94.5,"3,628","1,401",42°34′52″N 83°01′49″W / 42.5812°N 83.0303°W / 42.5812; -83.0303 ,Michael C. Taylor
210,New Haven,Connecticut,"130,418","129,779",+0.49,18.7,48.4,"6,948",",683",41°18′39″N 72°55′30″W / 41.3108°N 72.9250°W / 41.3108; -72.9250 ,Toni Harp 
211,Stamford,Connecticut,"129,775","122,643",+5.82,37.6,97.4,"3,434","1,326",41°04′48″N 73°32′46″W / 41.0799°N 73.5460°W / 41.0799; -73.5460 ,David Martin 
212,Concord,California,"129,688","122,067",+6.24,30.5,79.0,"4,221","1,630",37°58′20″N 122°00′06″W / 37.9722°N 122.0016°W / 37.9722; -122.0016 ,Carlyn Obringer
213,Kent,Washington,"129,618","92,411",+40.26,33.7,87.3,"3,784","1,461",47°23′17″N 122°12′46″W / 47.3880°N 122.2127°W / 47.3880; -122.2127 ,Dana Ralph 
214,Santa Clara,California,"129,488","116,468",+11.18,18.4,47.7,"6,845",",643",37°21′53″N 121°58′04″W / 37.3646°N 121.9679°W / 37.3646; -121.9679 ,
215,Elizabeth,New Jersey,"128,885","124,969",+3.13,12.3,31.9,"10,459","4,038",40°39′59″N 74°11′37″W / 40.6664°N 74.1935°W / 40.6664; -74.1935 ,
216,Round Rock,Texas,"128,739","99,887",+28.88,35.6,92.,"3,396","1,311",30°31′31″N 97°39′58″W / 30.5252°N 97.6660°W / 30.5252; -97.6660 ,
217,Thousand Oaks,California,"127,690","126,683",+0.79,55.2,143.0,"2,335",902,34°11′36″N 118°52′27″W / 34.1933°N 118.8742°W / 34.1933; -118.8742 ,Andy Fox 
218,Lafayette,Louisiana,"126,143","120,623",+4.58,53.8,139.3,"2,372",916,30°12′27″N 92°01′43″W / 30.2074°N 92.0285°W / 30.2074; -92.0285 ,
219,Athens,Georgia,"125,964","115,452",+9.11,116.4,301.5,"1,060",410,33°56′59″N 83°22′12″W / 33.9496°N 83.3701°W / 33.9496; -83.3701 ,Kelly Girtz 
220,Topeka,Kansas,"125,904","127,473",−1.23,61.5,159.3,"2,062",796,39°02′05″N 95°41′46″W / 39.0347°N 95.6962°W / 39.0347; -95.6962 ,Michelle De La Isla
221,Simi Valley,California,"125,851","124,237",+1.30,41.5,107.5,"3,044","1,175",34°16′01″N 118°44′55″W / 34.2669°N 118.7485°W / 34.2669; -118.7485 ,
222,Fargo,North Dakota,"124,844","105,549",+18.28,49.3,127.7,"2,450",950,46°51′55″N 96°49′44″W / 46.8652°N 96.8290°W / 46.8652; -96.8290 ,Tim Mahoney
223,Norman,Oklahoma,"123,471","110,925",+11.31,178.8,463.1,683,64,35°14′26″N 97°20′43″W / 35.2406°N 97.3453°W / 35.2406; -97.3453 ,Lynne Miller
224,Columbia,Missouri,"123,180","108,500",+13.53,65.0,168.3,"1,856",717,38°57′06″N 92°19′43″W / 38.951561°N 92.328638°W / 38.951561; -92.328638 ,Brian Treece
225,Abilene,Texas,"122,999","117,063",+5.07,106.7,76.4,"1,146",442,32°27′16″N 99°44′17″W / 32.4545°N 99.7381°W / 32.4545; -99.7381 ,
226,Wilmington,North Carolina,"122,607","106,476",+15.15,51.6,133.6,"2,278",880,34°12′33″N 77°53′09″W / 34.2092°N 77.8858°W / 34.2092; -77.8858 ,Bill Saffo
227,Hartford,Connecticut,"122,587","124,775",−1.75,17.4,45.1,"7,083",",735",41°45′57″N 72°40′54″W / 41.7659°N 72.6816°W / 41.7659; -72.6816 ,Luke Bronin 
228,Victorville,California,"122,312","115,903",+5.53,73.3,189.8,"1,668",644,34°31′40″N 117°21′13″W / 34.5277°N 117.3536°W / 34.5277; -117.3536 ,Gloria Garcia
229,Pearland,Texas,"122,149","91,252",+33.86,46.3,119.9,"2,453",947,29°33′21″N 95°19′23″W / 29.5558°N 95.3231°W / 29.5558; -95.3231 ,
230,Vallejo,California,"121,913","115,942",+5.15,30.7,79.5,"3,951","1,525",38°06′28″N 122°15′50″W / 38.1079°N 122.2640°W / 38.1079; -122.2640 ,Bob Sampayan
231,Ann Arbor,Michigan,"121,890","113,934",+6.98,28.1,72.8,"4,298","1,659",42°16′34″N 83°43′51″W / 42.2761°N 83.7309°W / 42.2761; -83.7309 ,Christopher Taylor 
232,Berkeley,California,"121,643","112,580",+8.05,10.5,7.,"11,547","4,458",37°52′01″N 122°17′57″W / 37.8670°N 122.2991°W / 37.8670; -122.2991 ,Jesse Arreguín
233,Allentown,Pennsylvania,"121,433","118,032",+2.88,17.5,45.3,"6,882",",657",40°35′37″N 75°28′42″W / 40.5936°N 75.4784°W / 40.5936; -75.4784 ,Ray O'Connell 
234,Richardson,Texas,"120,981","99,223",+21.93,28.6,74.1,"3,963","1,530",32°58′20″N 96°42′29″W / 32.9723°N 96.7081°W / 32.9723; -96.7081 ,
235,Odessa,Texas,"120,568","99,940",+20.64,45.2,117.1,"2,608","1,007",31°53′02″N 102°20′28″W / 31.8838°N 102.3411°W / 31.8838; -102.3411 ,
236,Arvada,Colorado,"120,492","106,433",+13.21,38.6,100.0,"3,043","1,175",39°50′01″N 105°09′01″W / 39.8337°N 105.1503°W / 39.8337; -105.1503 ,Marc Williams 
237,Cambridge,Massachusetts,"118,977","105,162",+13.14,6.4,16.6,"17,289","6,675",42°22′34″N 71°07′07″W / 42.3760°N 71.1187°W / 42.3760; -71.1187 ,Marc C. McGovern
238,Sugar Land,Texas,"118,600","78,817",+50.48,34.0,88.1,"3,488","1,347",29°35′58″N 95°36′51″W / 29.5994°N 95.6142°W / 29.5994; -95.6142 ,
239,Beaumont,Texas,"118,428","118,296",+0.11,82.1,12.6,"1,441",556,30°05′06″N 94°08′43″W / 30.0849°N 94.1453°W / 30.0849; -94.1453 ,
240,Lansing,Michigan,"118,427","114,297",+3.61,39.1,101.3,"2,967","1,146",42°42′51″N 84°33′33″W / 42.7143°N 84.5593°W / 42.7143; -84.5593 ,Andy Schor 
241,Evansville,Indiana,"117,963","117,429",+0.45,47.3,122.5,"2,526",975,37°59′16″N 87°32′05″W / 37.9877°N 87.5347°W / 37.9877; -87.5347 ,Lloyd Winnecke 
242,Rochester,Minnesota,"116,961","106,769",+9.55,54.6,141.4,"2,088",806,44°00′55″N 92°28′38″W / 44.0154°N 92.4772°W / 44.0154; -92.4772 ,Kim Norton 
